2021-03-25 00:00:02.597984===============매도 전 잔고===============
2021-03-25 00:00:02.598098{'currency': 'KRW', 'balance': '614483.6320284', 'locked': '0.0', 'avg_buy_price': '0', 'avg_buy_price_modified': True, 'unit_currency': 'KRW'}
2021-03-25 23:59:05.938719===============매도 전 잔고===============
2021-03-25 23:59:07.052036{'currency': 'KRW', 'balance': '494387.15049755', 'locked': '0.0', 'avg_buy_price': '0', 'avg_buy_price_modified': True, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.052098{'currency': 'SNT', 'balance': '67.56756756', 'locked': '0.0', 'avg_buy_price': '148', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.218850{'currency': 'PLA', 'balance': '13.5501355', 'locked': '0.0', 'avg_buy_price': '738', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.325525{'currency': 'POLY', 'balance': '14.47178002', 'locked': '0.0', 'avg_buy_price': '691', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.443952{'currency': 'BORA', 'balance': '26.52519893', 'locked': '0.0', 'avg_buy_price': '377', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.539968{'currency': 'CHZ', 'balance': '15.26717557', 'locked': '0.0', 'avg_buy_price': '655', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.602355{'currency': 'PCI', 'balance': '4.00801603', 'locked': '0.0', 'avg_buy_price': '2490', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.673393{'currency': 'TFUEL', 'balance': '20.5338809', 'locked': '0.0', 'avg_buy_price': '487', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.728651{'currency': 'WAVES', 'balance': '0.65789473', 'locked': '0.0', 'avg_buy_price': '15200', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.790418{'currency': 'STPT', 'balance': '102.04081632', 'locked': '0.0', 'avg_buy_price': '98.7', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.823887{'currency': 'HIVE', 'balance': '15.82278481', 'locked': '0.0', 'avg_buy_price': '631', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.850574{'currency': 'META', 'balance': '43.47826086', 'locked': '0.0', 'avg_buy_price': '230', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.878261{'currency': 'EMC2', 'balance': '27.93296089', 'locked': '0.0', 'avg_buy_price': '358', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.907888{'currency': 'SAND', 'balance': '13.6425648', 'locked': '0.0', 'avg_buy_price': '733', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.938605{'currency': 'MED', 'balance': '100.0', 'locked': '0.0', 'avg_buy_price': '100', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.965345{'currency': 'QTCON', 'balance': '96.15384615', 'locked': '0.0', 'avg_buy_price': '104', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:07.996947{'currency': 'AERGO', 'balance': '28.4090909', 'locked': '0.0', 'avg_buy_price': '352', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.097837{'currency': 'EOS', 'balance': '1.94363459', 'locked': '0.0', 'avg_buy_price': '5145', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.189183{'currency': 'DOGE', 'balance': '151.51515151', 'locked': '0.0', 'avg_buy_price': '66.8', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.253133{'currency': 'ZIL', 'balance': '47.16981132', 'locked': '0.0', 'avg_buy_price': '212', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.313179{'currency': 'WAXP', 'balance': '70.93625798', 'locked': '0.0', 'avg_buy_price': '281.45', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.373901{'currency': 'SPND', 'balance': '109.89010989', 'locked': '0.0', 'avg_buy_price': '91', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.428093{'currency': 'CRO', 'balance': '37.45318352', 'locked': '0.0', 'avg_buy_price': '267', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.534984{'currency': 'ANKR', 'balance': '84.03361344', 'locked': '0.0', 'avg_buy_price': '119', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.594227{'currency': 'HUM', 'balance': '75.18796992', 'locked': '0.0', 'avg_buy_price': '133', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.623172{'currency': 'ORBS', 'balance': '38.61003861', 'locked': '0.0', 'avg_buy_price': '259', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.652924{'currency': 'NPXS', 'balance': '1250.0', 'locked': '0.0', 'avg_buy_price': '8.3', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.679363{'currency': 'IOST', 'balance': '163.93442622', 'locked': '0.0', 'avg_buy_price': '61.1', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.718191{'currency': 'IQ', 'balance': '333.33333333', 'locked': '0.0', 'avg_buy_price': '30', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.749128{'currency': 'ONT', 'balance': '6.34920634', 'locked': '0.0', 'avg_buy_price': '1575', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.778288{'currency': 'MVL', 'balance': '161.29032258', 'locked': '0.0', 'avg_buy_price': '62.7', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.809406{'currency': 'TRX', 'balance': '136.98630136', 'locked': '0.0', 'avg_buy_price': '73.8', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.839422{'currency': 'ZRX', 'balance': '5.18134715', 'locked': '0.0', 'avg_buy_price': '1925', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.868069{'currency': 'IGNIS', 'balance': '55.55555555', 'locked': '0.0', 'avg_buy_price': '180', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.897555{'currency': 'KMD', 'balance': '4.30107526', 'locked': '0.0', 'avg_buy_price': '2315', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.924039{'currency': 'VET', 'balance': '92.59259259', 'locked': '0.0', 'avg_buy_price': '108', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.963956{'currency': 'STMX', 'balance': '136.98630136', 'locked': '0.0', 'avg_buy_price': '73', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:08.992148{'currency': 'BTT', 'balance': '2500.0', 'locked': '0.0', 'avg_buy_price': '4', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.095886{'currency': 'BCHA', 'balance': '0.23320895', 'locked': '0.0', 'avg_buy_price': '42880', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.254224{'currency': 'LBC', 'balance': '31.34796238', 'locked': '0.0', 'avg_buy_price': '319', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.310698{'currency': 'LTC', 'balance': '0.04286326', 'locked': '0.0', 'avg_buy_price': '233300', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.374626{'currency': 'CVC', 'balance': '16.3132137', 'locked': '0.0', 'avg_buy_price': '613', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.438065{'currency': 'POWR', 'balance': '20.79002079', 'locked': '0.0', 'avg_buy_price': '481', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.536781{'currency': 'HBAR', 'balance': '25.18891687', 'locked': '0.0', 'avg_buy_price': '397', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.595369{'currency': 'ARK', 'balance': '4.79616306', 'locked': '0.0', 'avg_buy_price': '2085', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.654351{'currency': 'NEO', 'balance': '0.19692792', 'locked': '0.0', 'avg_buy_price': '50780', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.685557{'currency': 'XTZ', 'balance': '2.0', 'locked': '0.0', 'avg_buy_price': '5000', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-25 23:59:09.710673{'currency': 'ICX', 'balance': '4.34782608', 'locked': '0.0', 'avg_buy_price': '2300', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
매도 후 잔고
2021-03-25 23:59:13.299926{'currency': 'KRW', 'balance': '588314.5319438', 'locked': '0.0', 'avg_buy_price': '0', 'avg_buy_price_modified': True, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.415246===============매도 전 잔고===============
2021-03-26 06:24:00.862625{'currency': 'KRW', 'balance': '487910.59693271', 'locked': '0.0', 'avg_buy_price': '0', 'avg_buy_price_modified': True, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.862672{'currency': 'XRP', 'balance': '15.50387596', 'locked': '0.0', 'avg_buy_price': '645', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.862731{'currency': 'MFT', 'balance': '370.37037037', 'locked': '0.0', 'avg_buy_price': '27.3', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.862829{'currency': 'CHZ', 'balance': '30.69927433', 'locked': '0.0', 'avg_buy_price': '651.48', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.862892{'currency': 'PCI', 'balance': '4.00801603', 'locked': '0.0', 'avg_buy_price': '2490', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.862940{'currency': 'TFUEL', 'balance': '20.5338809', 'locked': '0.0', 'avg_buy_price': '487', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.862984{'currency': 'WAVES', 'balance': '0.65789473', 'locked': '0.0', 'avg_buy_price': '15200', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863030{'currency': 'STPT', 'balance': '102.04081632', 'locked': '0.0', 'avg_buy_price': '98.7', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863077{'currency': 'HIVE', 'balance': '15.82278481', 'locked': '0.0', 'avg_buy_price': '631', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863139{'currency': 'META', 'balance': '43.47826086', 'locked': '0.0', 'avg_buy_price': '230', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863182{'currency': 'EMC2', 'balance': '56.26157278', 'locked': '0.0', 'avg_buy_price': '355.48', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863225{'currency': 'SAND', 'balance': '13.6425648', 'locked': '0.0', 'avg_buy_price': '733', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
